congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
101,2,326 (54-45),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00326,Agreed to,On the Conference Report: H.R. 5835 Conference Report; A bill to provide for reconciliation to section 4 of the concurrent resolution on the budget for fiscal year 1991.,[],H.R. 5835,http://hdl.loc.gov/loc.uscongress/legislation.101hr5835,Oct 27
101,2,325 (93-6),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00325,Agreed to,"On the Conference Report: S. 566 Conference Report; A bill to authorize a new corporation to support State and local stategies for achieving more affordable housing, to increase homeownership, and for other purposes.",[],S. 566,http://hdl.loc.gov/loc.uscongress/legislation.101s566,Oct 27
101,2,324 (89-10),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00324,Agreed to,"On the Conference Report: S. 1630 Conference Report; A bill to amend the Clean Air Act to provide for attainment and maintenance of health protective national ambient air quality standards, and for other purposes.",[],S. 1630,http://hdl.loc.gov/loc.uscongress/legislation.101s1630,Oct 27
101,2,323 (89-8),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00323,Agreed to,"On the Conference Report: S. 358; A bill to amend the Immigration and Nationality Act to change the level, and preference system for admission, of immigrants to the United States, and to provide for administrative naturalization, and for other purposes.",[],S. 358,http://hdl.loc.gov/loc.uscongress/legislation.101s358,Oct 26
101,2,322 (52-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00322,Agreed to,On the Motion to Table S.Amdt. 3182: Motion To Table Motion To Reconsider; To provide that the Secretary of Transportation shall not reduce the obligation limitation allocated to Pennsylvania for Federal-aid highways and highway safety construction programs for fiscal year 1991.,"[[""S.Amdt. 3182"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt3182""]]",H.R. 5229,http://hdl.loc.gov/loc.uscongress/legislation.101hr5229,Oct 26
101,2,321 (54-42),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00321,Agreed to,On the Motion to Table S.Amdt. 3182: Motion To Table Amendment No. 3182; To provide that the Secretary of Transportation shall not reduce the obligation limitation allocated to Pennsylvania for Federal-aid highways and highway safety construction programs for fiscal year 1991.,"[[""S.Amdt. 3182"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt3182""]]",H.R. 5229,http://hdl.loc.gov/loc.uscongress/legislation.101hr5229,Oct 26
101,2,320 (80-17),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00320,Agreed to,"On the Conference Report: H.R. 4739 Conference Report; A bill to authorize appropriations for fiscal year 1991 for military functions of the Department of Defense and to prescribe military personnel levels for fiscal year 1991, and for other purposes.",[],H.R. 4739,http://hdl.loc.gov/loc.uscongress/legislation.101hr4739,Oct 26
101,2,319 (80-17),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00319,Agreed to,"On the Conference Report: H.R. 5803 Conference Report; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 1991 and for other purposes.",[],H.R. 5803,http://hdl.loc.gov/loc.uscongress/legislation.101hr5803,Oct 26
101,2,318 (95-1),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00318,Agreed to,On the Amendment S.Amdt. 3164: Dole Amendment No. 3164; To strengthen the program of employment and training assistance under the Job Training Partnership Act.,"[[""S.Amdt. 3164"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt3164""]]",H.R. 5257,http://hdl.loc.gov/loc.uscongress/legislation.101hr5257,Oct 25
101,2,317 (60-36),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00317,Agreed to,"On the Conference Report: S. 2830 Conference Report; An original bill to extend and revise agricultural price support and related programs, to provide for agricultural export, resource conservation, farm credit, and agricultural research and related programs, to ensure consumers an abundance of food and fiber at reasonable prices, and for other purposes.",[],S. 2830,http://hdl.loc.gov/loc.uscongress/legislation.101s2830,Oct 25
101,2,316 (42-55),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00316,Rejected,"On the Motion to Table S.Amdt. 3163: Bingaman Amendment No. 3163; To provide for the establishment of an independent National Council on Educational Goals, and for payment of the expenses incurred by the School Year Extension Study Commission.","[[""S.Amdt. 3163"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt3163""]]",H.R. 5257,http://hdl.loc.gov/loc.uscongress/legislation.101hr5257,Oct 25
101,2,315 (82-15),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00315,Agreed to,"On the Conference Report: H.R. 5257 Conference Report; A bill making appropriations for the Department of Labor, Health and Human Services, and Education, and related agencies, for the fiscal year ending September 30, 1991, and for other purposes.",[],H.R. 5257,http://hdl.loc.gov/loc.uscongress/legislation.101hr5257,Oct 25
101,2,314 (72-24),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00314,Passed,"On Passage of the Bill: H.R. 5399; A bill making appropriations for the Legislative Branch for the fiscal year ending September 30, 1991, and for other purposes.",[],H.R. 5399,http://hdl.loc.gov/loc.uscongress/legislation.101hr5399,Oct 25
101,2,313 (73-22),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00313,Agreed to,On the Amendment S.Amdt. 3161: Wirth Amendment No. 3161; To remove the Library of Congress from consideration of the five percent reduction.,"[[""S.Amdt. 3161"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt3161""]]",H.R. 5399,http://hdl.loc.gov/loc.uscongress/legislation.101hr5399,Oct 25
101,2,312 (50-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00312,Agreed to,On the Amendment S.Amdt. 3146: Nickles Amendment No. 3146; To prohibit the transfer of Senate official mail allocations.,"[[""S.Amdt. 3146"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt3146""]]",H.R. 5399,http://hdl.loc.gov/loc.uscongress/legislation.101hr5399,Oct 25
101,2,311 (42-51),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00311,Rejected,On the Amendment S.Amdt. 3147: Ford Amendment No. 3147; To modify the rules for the use of the congressional frank for Members of the Senate.,"[[""S.Amdt. 3147"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt3147""]]",H.R. 5399,http://hdl.loc.gov/loc.uscongress/legislation.101hr5399,Oct 25
101,2,310 (32-60),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00310,Rejected,On the Motion to Table S.Amdt. 3143: Motion To Table Amendment No. 3143; To reduce the total funds appropriated in the act by five percent.,"[[""S.Amdt. 3143"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt3143""]]",H.R. 5399,http://hdl.loc.gov/loc.uscongress/legislation.101hr5399,Oct 24
101,2,309 (92-6),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00309,Passed,"On Passage of the Bill: H.R. 5769; A bill making appropriations for the Department of the Interior and related agencies for the fiscal year ending September 30, 1991, and for other purposes.",[],H.R. 5769,http://hdl.loc.gov/loc.uscongress/legislation.101hr5769,Oct 24
101,2,308 (73-24),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00308,Agreed to,On the Amendment S.Amdt. 3130: Hatch Amendment No. 3130; To require that the National Endowment for the Arts establish review panel procedures and sanctions for persons who produce obscene projects or productions.,"[[""S.Amdt. 3130"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt3130""]]",H.R. 5769,http://hdl.loc.gov/loc.uscongress/legislation.101hr5769,Oct 24
101,2,307 (29-70),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=2&vote=00307,Rejected,"On the Amendment S.Amdt. 3119: Helms Amendment No. 3119; To prohibit the use of funds by the National Endowment for the Arts to promote, distribute, disseminate, or produce materials that depict or describe sexual or excretory activities or organs.","[[""S.Amdt. 3119"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt3119""]]",H.R. 5769,http://hdl.loc.gov/loc.uscongress/legislation.101hr5769,Oct 24
